Model,Technology,Materials,Brand,Build Size
LulzBot TAZ 3,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",LulzBot,298 x 275 x 250 mm 
LulzBot TAZ 4,FDM (Fused Deposition Modeling),"PLA, ABS, HIPS",LulzBot,298 x 275 x 250 mm 
sPro 60,SLS (Selective Laser Sintering),"DuraForm PA Plastic, DuraForm EX, DuraForm GF",3D Systems,381 x 330 x 460 mm 
ROBO 3D R1 PLUS,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +10 materials",Robo 3D,254 x 225 x 200 mm 
Solidscape Max 2,SCP (Smooth Curvature Printing),Jewelry Wax (Solidscape 3Z Model),Solidscape,152.4 x 152.4 x 101.6 mm
ProJet 4500,CJP (ColorJet Printing),"Nylon, Full-color plastic (VisiJet C4 Spectrum)",3D Systems,203 x 254 x 203 mm 
BQ Prusa i3 Hephestos,FDM (Fused Deposition Modeling),"PLA, Nylon, HIPS and +2 materials",BQ,215 x 210 x 180 mm 
CR-7 Mini 3D Printer,FDM (Fused Deposition Modeling),"PLA, FLEX (Elastic TPE), Wood PLA and +3 materials",Creality,130 x 150 x 100 mm 
Printrbot Play,FDM (Fused Deposition Modeling),PLA,Printrbot,100 x 100 x 130 mm 
Wasp Delta 2040,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +14 materials",Wasp3d,140 x 140 x 400 mm 
Sharebot XXL,FDM (Fused Deposition Modeling),"PLA, Nylon",Sharebot,700 x 250 x 200 mm 
Zortrax M200,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +15 materials",Zortrax,200 x 200 x 180 mm 
FlexMaker Bulldozer HD,FDM (Fused Deposition Modeling),"PLA, FLEX (Elastic TPE), Wood PLA",3Dealo,300 x 200 x 300 mm 
FlexMaker Bulldozer LT,FDM (Fused Deposition Modeling),"PLA, FLEX (Elastic TPE), Wood PLA",3Dealo,200 x 200 x 250 mm 
FlexMaker Monster,FDM (Fused Deposition Modeling),"PLA, FLEX (Elastic TPE), Wood PLA",3Dealo,600 x 400 x 350 mm 
FlexMaker Darkside,FDM (Fused Deposition Modeling),"PLA, FLEX (Elastic TPE), Wood PLA",3Dealo,400 x 400 x 500 mm 
Form 1+,SLA (Stereolithography),"Resin, Castable Resin, Tough Resin and +4 materials",Formlabs,125 x 125 x 165 mm 
Form 2,SLA (Stereolithography),"Resin, Castable Resin, Tough Resin and +14 materials",Formlabs,145 x 145 x 175 mm 
Stacker 500 Desktop 3D Printer,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Stacker3D,250 x 450 x 220 mm 
Stacker 500 Full Size 3D Printer,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Stacker3D,250 x 450 x 600 mm 
AXIOM,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Airwolf 3D,317 x 200 x 254 mm 
AXIOME,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Airwolf 3D,317 x 200 x 254 mm 
AXIOM DUAL EXTRUDER,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Airwolf 3D,317 x 200 x 230 mm 
Mojo,FDM (Fused Deposition Modeling),ABS,Stratasys,127 x 127 x 127 mm 
Objet24,PolyJet and PolyJetMatrix,Vero,Stratasys,240 x 200 x 150 mm 
Objet30,PolyJet and PolyJetMatrix,"Vero, Durable (PP-like) Resin, Durus",Stratasys,294 x 192 x 148.6 mm 
Objet30 Prime,PolyJet and PolyJetMatrix,"Vero, Durable (PP-like) Resin, Tango (Rubber-like material) and +2 materials",Stratasys,294 x 192 x 148.6 mm 
Objet30 Pro,PolyJet and PolyJetMatrix,"Vero, Durable (PP-like) Resin, High Temperature (RGD525)",Stratasys,294 x 192 x 148.6 mm 
Dimension 1200es,FDM (Fused Deposition Modeling),"ABS, HIPS, PC-ABS",Stratasys,254 x 254 x 305 mm 
Dimension Elite,FDM (Fused Deposition Modeling),ABS,Stratasys,203 x 203 x 305 mm 
Fortus 250mc,FDM (Fused Deposition Modeling),"ABS, PC-ABS, PPSF/PPSU (Heat and chemical resistant)",Stratasys,254 x 254 x 305 mm 
Objet500 Connex3,PolyJet and PolyJetMatrix,"ABS, Vero, Durable (PP-like) Resin and +1 materials",Stratasys,490 x 390 x 200 mm 
Objet350 Connex3,PolyJet and PolyJetMatrix,"Vero, Durable (PP-like) Resin, Tango (Rubber-like material)",Stratasys,340 x 340 x 200 mm 
Objet1000 Plus,PolyJet and PolyJetMatrix,"Rubber-like (TPU), Vero, Durable (PP-like) Resin",Stratasys,1000 x 800 x 500 mm 
Stratasys J750,PolyJet and PolyJetMatrix,"Rubber-like (TPU), Vero, Durable (PP-like) Resin and +1 materials",Stratasys,490 x 390 x 200 mm 
Fortus 380mc,FDM (Fused Deposition Modeling),"ABS, Nylon",Stratasys,355 x 305 x 305 mm 
Fortus 450mc,FDM (Fused Deposition Modeling),"ABS, Nylon, Polycarbonate (PC) and +2 materials",Stratasys,406 x 355 x 406 mm 
Fortus 900mc,FDM (Fused Deposition Modeling),"ABS, Nylon, PC-ABS and +10 materials",Stratasys,914 x 610 x 914 mm 
CubePro,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",3D Systems,285.4 x 270.4 x 230 mm 
ProJet 1200,SLA (Stereolithography),"VisiJet FTX Cast, VisiJet FTX resin",3D Systems,43 x 27 x 150 mm 
ProJet MJP 2500 Series,MJP (MultiJet Printing),"VisiJet M2 Elastomeric, VisiJet M2 Rigid",3D Systems,295 x 211 x 142 mm 
ProJet 3510,MJP (MultiJet Printing),VisiJet M3,3D Systems,298 x 185 x 203 mm 
ProJet 3600 Series,MJP (MultiJet Printing),VisiJet M3,3D Systems,298 x 183 x 203 mm
ProJet 5000,MJP (MultiJet Printing),VisiJet M5,3D Systems,533.4 x 381 x 299.72 mm 
ProJet 5500X,MJP (MultiJet Printing),"VisiJet CR-WT, VisiJet CR-CL, VisiJet CE-BK",3D Systems,518 x 381 x 300 mm 
ProJet 6000,SLA (Stereolithography),"Resin, VisiJet SL e-Stone, VisiJet SL Clear",3D Systems,250 x 250 x 250 mm 
ProJet 7000,SLA (Stereolithography),"Resin, VisiJet FTX resin, VisiJet SL e-Stone",3D Systems,380 x 380 x 250 mm 
ProJet 260C,CJP (ColorJet Printing),Full-color sandstone (VisiJet PXL),3D Systems,236 x 185 x 127 mm 
ProJet 360,CJP (ColorJet Printing),Full-color sandstone (VisiJet PXL),3D Systems,203 x 254 x 203 mm 
ProJet CJP 460Plus,CJP (ColorJet Printing),Full-color sandstone (VisiJet PXL),3D Systems,203 x 254 x 203 mm 
ProJet CJP 860Pro,CJP (ColorJet Printing),Full-color sandstone (VisiJet PXL),3D Systems,508 x 381 x 229 mm 
ProX 800,SLA (Stereolithography),"Resin, Accura e-Stone, Accura ClearVue",3D Systems,650 x 750 x 550 mm 
ProX 950,SLA (Stereolithography),"Jewelry Wax (Solidscape 3Z Model), Accura e-Stone, Accura ClearVue",3D Systems,1500 x 750 x 550 mm 
ProX 500,SLS (Selective Laser Sintering),DuraForm® ProX™ PA Plastic,3D Systems,381 x 330 x 460 mm 
sPro 140,SLS (Selective Laser Sintering),"DuraForm PA Plastic, DuraForm EX, DuraForm GF",3D Systems,550 x 550 x 460 mm 
sPro 230,SLS (Selective Laser Sintering),"DuraForm PA Plastic, DuraForm EX, DuraForm GF",3D Systems,550 x 550 x 750 mm 
PRAMAAN V2,FDM (Fused Deposition Modeling),"PLA, ABS, Bronze PLA",Global 3D Labs,300 x 300 x 300 mm 
HD,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",Airwolf 3D,300 x 200 x 300 mm 
HDx,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",Airwolf 3D,300 x 200 x 300 mm 
HD2x,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Airwolf 3D,280 x 200 x 300 mm 
HDL,FDM (Fused Deposition Modeling),"PLA, Bronze PLA, Brick PLA",Airwolf 3D,300 x 200 x 280 
HDR,FDM (Fused Deposition Modeling),"ABS, Nylon, Bronze PLA",Airwolf 3D,280 x 200 x 300 mm 
XL,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",Airwolf 3D,300 x 200 x 178 mm 
Sintratec Kit Printer,SLS (Selective Laser Sintering),PA12 Nylon,Sintratec,110 x 110 x 110 mm 
ProX 100,DMLS (Direct Metal Laser Sintering),"Cobalt-Chrome (CoCr), Stainless Steel 17-4 PH",3D Systems,100 x 100 x 80 mm 
Prox 200,DMLS (Direct Metal Laser Sintering),"Cobalt-Chrome (CoCr), Stainless Steel 17-4 PH, Aluminium Alloy AlSi12",3D Systems,140 x 140 x 100 mm 
Prox 300,DMLS (Direct Metal Laser Sintering),"Cobalt-Chrome (CoCr), Stainless Steel 17-4 PH, Aluminium Alloy AlSi12",3D Systems,250 x 250 x 300 mm 
Prox 320,DMLS (Direct Metal Laser Sintering),"LaserForm Ni718, Stainless Steel 316L",3D Systems,275 x 275 x 420 mm 
The Micro,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",M3D,109 x 113 x 74 mm 
The Mark Two,FDM (Fused Deposition Modeling),"Nylon, Copper, A2 Tool Steel and +10 materials",Markforged,320 x 132 x 154 mm 
Vertex Velleman K8400,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Velleman,180 x 200 x 190 mm 
HICTOP Prusa I3,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +4 materials",HICTOP,270 x 200 x 170 mm 
Ultimaker 2+,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +23 materials",Ultimaker,223 x 223 x 205 mm 
Dremel 3D Idea Builder,FDM (Fused Deposition Modeling),PLA,Dremel,230 x 150 x 140 mm 
UP BOX,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +5 materials",Tiertime,255 x 205 x 205 mm 
MendelMax 3,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Maker’s Tool Works,250 x 315 x 197 mm 
EOS Formiga P100,SLS (Selective Laser Sintering),Polyamide,EOS,200 x 250 x 330 mm 
EOSINT P395,SLS (Selective Laser Sintering),Polyamide,EOS,340 x 340 x 620 mm 
DTM Sinterstation 2000,SLS (Selective Laser Sintering),"Nylon, DuraForm PA Plastic, DuraForm EX",DTM,254 x 254 x 343 mm 
Dimension 768SST,FDM (Fused Deposition Modeling),ABS,Stratasys,250 x 250 x 400 mm 
The Mark One,FDM (Fused Deposition Modeling),"PLA, Nylon, Carbon Fiber and +1 materials",Markforged,320 x 132 x 160 mm 
EOS P390,SLS (Selective Laser Sintering),Polyamide,EOS,340 x 340 x 620 mm 
EOS P730,SLS (Selective Laser Sintering),Polyamide,EOS,700 x 380 x 580 mm 
EOS P760,SLS (Selective Laser Sintering),"Polyamide, Alumide, Aluminium AlSi10Mg",EOS,700 x 380 x 580 mm 
JoysMaker R3,FDM (Fused Deposition Modeling),"PLA, ABS, HIPS",JoysMaker,260 x 260 x 280 mm 
Sharebot Next Generation,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Sharebot,250 x 200 x 200 mm 
3D dreams V2,FDM (Fused Deposition Modeling),"PLA, ABS",3D dreams,260 x 260 x 260 mm 
Createbot MAX,FDM (Fused Deposition Modeling),"PLA, ABS, Rubber-like (TPU)",Createbot,280 x 250 x 400 mm 
Pharaoh ED,FDM (Fused Deposition Modeling),"PLA, ABS, HIPS",Massportal,150 x 150 x 186 mm 
Folgertech 2020 i3,FDM (Fused Deposition Modeling),"PLA, ABS",Folger Tech,203.2 x 203.2 x 152.4 mm 
Mass Portal Pharaoh XD,FDM (Fused Deposition Modeling),"PVA, PLA, ABS",Mass Portal,150 x 150 x 186 mm 
Mass Portal Grand Pharaoh ED,FDM (Fused Deposition Modeling),"PVA, PLA, ABS",Mass Portal,250 x 250 x 350 mm 
ZPrinter 450,CJP (ColorJet Printing),zp130 Powder,3D Systems,203 x 254 x 203 mm 
GALILEO SMART,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Kentstrapper,200 x 200 x  160 mm 
GALILEO SmartUp,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Kentstrapper,200 x 200 x  280 mm 
ZERO,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Kentstrapper,260 x 260 x  280 mm 
Griffin Pro XL,FDM (Fused Deposition Modeling),"PLA, ABS",Griffin 3D,325 x 325 x 457 mm 
Griffin Pro Mini,FDM (Fused Deposition Modeling),"PLA, ABS",Griffin 3D,120 x 120 x 170 mm 
Griffin Pro Standard,FDM (Fused Deposition Modeling),"PLA, ABS",Griffin 3D,212 x 212 x 300 mm 
Ember 3D Printer,SLA (Stereolithography),Resin,Ember,64 x 40 x 134 mm 
Weistek A-Box,FDM (Fused Deposition Modeling),PLA,Weistek,180 x 210 x 200 mm 
Raise3D N2 Plus,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +14 materials",Raise3D,305 x 305 x 610 mm 
Raise3D N2,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",Raise3D,305 x 305 x 305 mm 
Raise3D N1,FDM (Fused Deposition Modeling),"PLA, ABS, HIPS",Raise3D,205 x 205 x 205 mm 
FLUX Delta,FDM (Fused Deposition Modeling),"PLA, Bronze PLA, FLEX (Elastic TPE)",FLUX,120 x 120 x 210 mm 
Afinibot A9L,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Afinibot,210 x 210 x 210 mm 
CoLiDo Print-Rite DIY,FDM (Fused Deposition Modeling),"PLA, ABS",Print-Rite,200 x 200 x 170 mm 
Geeetech Prusa I3 X,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +5 materials",Geeetech,200 x 200 x 170 mm 
Picaso 3D Designer,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +3 materials",Picaso,200 x 200 x 210 mm 
Big Builder - Dual-Feed,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +1 materials",Builder,220 x 210 x 664 mm 
ProJet 3000 HD Plus,MJP (MultiJet Printing),"VisiJet® EX200, VisiJet® SR200, VisiJet® HR200",3D Systems,298 x 185 x 203 mm 
da Vinci 1.0A,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",XYZPrinting,200 x 200 x 200 mm 
PivotMaker,FDM (Fused Deposition Modeling),"PVA, PLA, FLEX (Elastic TPE)",i3d,850 x 850 x 850 mm 
PlayMaker HD,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +2 materials",i3d,360 x 290 x 360 mm 
EOSINT M 280,DMLS (Direct Metal Laser Sintering),"Cobalt-Chrome (CoCr), Aluminium Alloy AlSi12, Stainless Steel 316L",EOS,250 x 250 x 325 mm 
EOSINT M 290,DMLS (Direct Metal Laser Sintering),"Aluminium Alloy AlSi12, Stainless Steel 316L, Titanium Ti64",EOS,250 x 250 x 325 mm 
M-Flex,"3DP (3D Printing, Powder Bed and Inkjet Head 3D Printing, Plaster-based 3D Printing)",Stainless Steel 316L,ExOne,400 x 250 x 250 mm 
Cubicon 3DP - 110F,FDM (Fused Deposition Modeling),"PLA, ABS, FLEX (Elastic TPE)",Cubicon,239 x 190 x 200 mm 
MoonRay,DLP (Digital Light Processing),"Resin, Castable Resin",SprintRay,127 x 76 x 203 mm 
Carbon M1,CLIP (Continuous Liquid Interface Production),"Resin, EPU 40  (polyurethane elastomer), FPU 50 (Flexible Polyurethane)",Carbon 3D,144 x 81 x 330 mm 
Arcam EBM S12,EBM (Electron Beam Melting),"Cobalt-Chrome (CoCr), Titanium Ti64",Arcam AB,250 x 250 x 200 mm 
DeltaWASP 40 70,FDM (Fused Deposition Modeling),"PLA, ABS, Bronze PLA and +4 materials",Wasp3d,280 x 280 x 670 mm 
MakeIt Pro-M,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +2 materials",MakeIt,200 x 240 x 200 mm 
Felix Pro 1,FDM (Fused Deposition Modeling),"PVA, PLA, ABS",FELIXprinters,237 x 244 x 235 mm 
3d Quality Prism MINI,FDM (Fused Deposition Modeling),"PLA, ABS, HIPS",3d Quality,106 x 106 x 230 mm 
BiZon Prusa i3 Steel,FDM (Fused Deposition Modeling),"PVA, PLA, ABS",3DiY,300 х 300 х 340 mm 
ZPrinter 310 Plus,CJP (ColorJet Printing),zp130 Powder,3D Systems,203 x 254 x 203 mm 
BCN3D SIGMA,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +1 materials",BCN3D,210 x 297 x 210 mm 
Cube 3,FDM (Fused Deposition Modeling),"PLA, ABS",3D Systems,152 x 152 x 152 mm 
Turnigy Fabrikator,FDM (Fused Deposition Modeling),"PLA, ABS, Copper and +4 materials",Turnigy,150 x 150 x 100 mm 
Maker Select,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +10 materials",Monoprice,200 x 200 x 177 mm 
HORI Z300,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +2 materials",HORI 3D,300 x 260 x 305 mm 
HORI H1+,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +2 materials",HORI 3D,240 x 190 x 255 mm 
HORI Z500,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +2 materials",HORI 3D,360 x 350 x 560 mm 
HORI X500,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +2 materials",HORI 3D,550 x 260 x 250 mm 
TEVO Black Widow,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +4 materials",TEVO,370 x 250 x 300 mm 
F400-S,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +2 materials",Fusion3,360 x 365 x 320 mm 
F400-HFR,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +2 materials",Fusion3,360 x 365 x 309 mm 
F306-Dual Extruder,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +2 materials",Fusion3,306 x 306 x 306 mm 
ProMaker V6000,DLP (Digital Light Processing),"Resin, Castable Resin, Tough Resin",Prodways,120 x 500 x 150 mm 
ProMaker L7000,DLP (Digital Light Processing),"Resin, Castable Resin, Tough Resin",Prodways,800 x 330 x 400 mm  
M2 cusing,DMLS (Direct Metal Laser Sintering),"Cobalt-Chrome (CoCr), Stainless Steel 17-4 PH, Aluminium Alloy AlSi12 and +1 materials",Concept Laser Machines,254 x 254 x 280 mm 
X line 2000R,DMLS (Direct Metal Laser Sintering),"Cobalt-Chrome (CoCr), Stainless Steel 17-4 PH, Aluminium Alloy AlSi12",Concept Laser Machines,800 x 400 x 500 mm 
Printrbot Go,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Printrbot,600 x 300 x 300 mm 
3DWOX,FDM (Fused Deposition Modeling),"PLA, ABS",Sindoh,210 x 200 x 195 mm 
Cubicon 3DP-210F(Style),FDM (Fused Deposition Modeling),"PLA, ABS, Rubber-like (TPU)",Cubicon,150 x 150 x 150 mm 
Kossel,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +2 materials",RepRap,120 x 120 x 240 mm 
Original Prusa i3 MK2,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +22 materials",Prusa 3D,250 x 210 x 200 mm 
Rostock Max V3,FDM (Fused Deposition Modeling),"PLA, ABS, FLEX (Elastic TPE) and +1 materials",SeeMeCNC,194 x 194 x 400 
Formbot T Rex,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Formbot,400 x 400 x 450 mm 
Formiga P 110,SLS (Selective Laser Sintering),"Nylon, Polyamide, Alumide",EOS,200 x 250 x 330 mm 
EOS P 396,SLS (Selective Laser Sintering),"Polyamide, PA 2200",EOS,340 x 340 x 600 mm 
SLA 3500,SLA (Stereolithography),"Resin, WaterClear Resin",3D Systems,350 x 350 x 400 mm 
EOS M 400,DMLS (Direct Metal Laser Sintering),Stainless Steel 316L,EOS,400 x 400 x 400 mm 
SLA 5000,SLA (Stereolithography),Resin,3D Systems,508 x 508 x 584 mm 
Sedgwick DLP,DLP (Digital Light Processing),"Resin, Castable Resin",Sedgwick,75 x 75 x 120 mm 
iSLA-650 Pro,SLA (Stereolithography),Resin,Shining 3D,650 x 600 x 400 mm 
Mbot Cube,FDM (Fused Deposition Modeling),"PLA, ABS, Bronze PLA",Mbot 3D,250 x 220 x 180 mm 
